00GE               20131205                                                                                   
0601GEA0N       20140101001810005000005000 0000000000002521   
0601GEA0N       20140101001815005000005000 0000000000002525   
0601GEA0N       20140101001820005000005000 0000000000002528   
0601GEA0N       20140101001825005000005000 0000000000002532   
0601GEA0N       20140101001830005000005000 0000000000002535   
0601GEA0N       20140101001835005000005000 0000000000002539   
0601GEA0N       20140101001840005000005000 0000000000002542   
0601GEA0N       20140101001845005000005000 0000000000002545   
0601GEA0N       20140101001850005000005000 0000000000002549   
0601GEA0N       20140101001855005000005000 0000000000002552   
0601GEA0N       20140101001860005000005000 0000000000002556   
0601GEA0N       20140101001865005000005000 0000000000002559   
0601GEA0N       20140101001870005000005000 0000000000002563   
0601GEA0N       20140101001875005000005000 0000000000002566   
0601GEA0N       20140101001880005000005000 0000000000002569   
0601GEA0N       20140101001885005000005000 0000000000002573   
0601GEA0N       20140101001890005000005000 0000000000002576   
0601GEA0N       20140101001895005000005000 0000000000002579   
0601GEA0N       20140101001900005000005000 0000000000002582   
0601GEA0N       20140101001905005000005000 0000000000002585   
0601GEA0N       20140101001910005000005000 0000000000002589   
0601GEA0N       20140101001915005000005000 0000000000002592   
0601GEA0N       20140101001920005000005000 0000000000002595   
0601GEA0N       20140101001925005000005000 0000000000002598   
0601GEA0N       20140101001930005000005000 0000000000002601   
0601GEA0N       20140101001935005000005000 0000000000002604   
0601GEA0N       20140101001940005000005000 0000000000002608   
0601GEA0N       20140101001945005000005000 0000000000002611   
0601GEA0N       20140101001950005000005000 0000000000002614   
0601GEA0N       20140101001955005000005000 0000000000002617   
0601GEA0N       20140101001960005000005000 0000000000002620   
0601GEA0N       20140101001965005000010000 0000000000002624   
0601GEA0N       20140101001975005000010000 0000000000002631   
0601GEA0N       20140101001985005000010000 0000000000002636   
0601GEA0N       20140101001995005000010000 0000000000002642   
0601GEA0N       20140101002005005000010000 0000000000002648   
0601GEA0N       20140101002015005000010000 0000000000002654   
0601GEA0N       20140101002025005000010000 0000000000002660   
0601GEA0N       20140101002035005000010000 0000000000002665   
0601GEA0N       20140101002045005000010000 0000000000002671   
0601GEA0N       20140101002055005000010000 0000000000002676   
0601GEA0N       20140101002065005000010000 0000000000002682   
0601GEA0N       20140101002075005000010000 0000000000002687   
0601GEA0N       20140101002085005000010000 0000000000002693   
0601GEA0N       20140101002095005000010000 0000000000002698   
0601GEA0N       20140101002105005000010000 0000000000002703   
0601GEA0N       20140101002115005000010000 0000000000002709   
0601GEA0N       20140101002125005000010000 0000000000002713   
0601GEA0N       20140101002135005000010000 0000000000002719   
