1676,Chavannes-les-Forts
1148,Chavannes-le-Veyron
1022,Chavannes-près-Renens
1694,Chavannes-sous-Orsonnens
1512,Chavannes-sur-Moudon
1373,Chavornay
1529,Cheiry
1927,Chemin
1091,Chenaux
1224,Chêne Bougeries Shell
1224,Chêne-Bougeries
1225,Chêne-Bourg
1225,Chêne-Bourg Distribution
1744,Chénens
1464,Chêne-Pâquier
3971,Chermignon
3971,Chermignon-d'en-Bas
1822,Chernex
1683,Chesalles-sur-Moudon
1608,Chesalles-sur-Oron
1039,Cheseaux Polyval
1033,Cheseaux-Laus Distribution
1400,Cheseaux-Noréaz
1033,Cheseaux-sur-Lausanne
1275,Chéserex
1885,Chesières
1720,Chésopelloz
1846,Chessel
2906,Chevenez
1316,Chevilly
1545,Chevroux
1071,Chexbres
1071,Chexbres Distribution
1468,Cheyres
1945,Chez Petit (Liddes)
2054,Chézard-St-Martin
2025,Chez-le-Bart
6830,Chiasso
6830,Chiasso 1
6830,Chiasso 1 ZF
6830,Chiasso 3
6830,Chiasso Distribuzione
6830,Chiasso Stazione FFS
6764,Chiggiogna
1134,Chigny
3965,Chippis
6747,Chironico
1871,Choëx
1244,Choulex
7000,Chur
7001,Chur
7002,Chur
7004,Chur
7006,Chur
7007,Chur
7000,Chur 1 Zustellung
7000,Chur Kaserne
7000,Chur Logistikzentrum
7003,Chur Postauto GR Reg. Chur
7075,Churwalden
6959,Cimadera
6684,Cimalmotto
6992,Cimo
7526,Cinuos-chel
1815,Clarens
1127,Clarmont
6702,Claro
1595,Clavaleyres
1993,Clèbes (Nendaz)
7442,Clugin
2932,Coeuve
2207,Coffrane
6678,Coglio
1267,Coinsins
1216,Cointrin
6877,Coldrerio
6951,Colla
1239,Collex
1868,Collombey
1245,Collonge-Bellerive
1903,Collonges
1223,Cologny
1223,Cologny Distribution
2013,Colombier NE
2013,Colombier NE Caserne
2013,Colombier NE Distribution
1114,Colombier VD
6949,Comano
1535,Combremont-le-Grand
1536,Combremont-le-Petit
1971,Coméraz (Grimisuat)
1291,Commugny
6663,Comologno
1231,Conches
1426,Concise
1996,Condémines (Nendaz)
1232,Confignon
1587,Constantine
7241,Conters im Prättigau
1964,Conthey
1964,Conthey Distribution
6594,Contone
6646,Contra
1296,Coppet
1296,Coppet Distribution
2826,Corban
1856,Corbeyrier
1647,Corbières
2747,Corcelles BE
2035,Corcelles NE
2035,Corcelles NE Distribution
1082,Corcelles-le-Jorat
1426,Corcelles-près-Concise
1562,Corcelles-près-Payerne
1374,Corcelles-sur-Chavornay
1792,Cordast
2606,Corgémont
3960,Corin-de-la-Crête
6631,Corippo
1754,Corjolens
1782,Cormagens
1721,Cormérod
1720,Corminboeuf
2036,Cormondrèche
2612,Cormoret
2087,Cornaux NE
2952,Cornol
1727,Corpataux-Magnedens
1410,Correvon
1802,Corseaux
1747,Corserey
1246,Corsier GE
1804,Corsier-sur-Vevey
2016,Cortaillod
2607,Cortébert
6873,Corteglia
6958,Corticiasca
6722,Corzoneso
1304,Cossonay Distribution
1304,Cossonay-Ville
1741,Cottens FR
1116,Cottens VD
1585,Cotterd
1934,Cotterg (Le Châble VS)
2823,Courcelon
2825,Courchapoix
2922,Courchavon
2853,Courfaivre
2950,Courgenay
1796,Courgevaux
1795,Courlevon
1784,Cournillens
2830,Courrendlin
2822,Courroux
2738,Court
1791,Courtaman
2905,Courtedoux
2608,Courtelary
2923,Courtemaîche
2950,Courtemautruy
1784,Courtepin
2852,Courtételle
1721,Courtion
1774,Cousset
2108,Couvet
6951,Cozzo
6611,Crana
3963,Crans-Montana
3963,Crans-Montana 1
3963,Crans-Montana 1 Dist
3963,Crans-Montana 2
1299,Crans-près-Céligny
1263,Crassier
1526,Cremin
2746,Crémines
6705,Cresciano
1785,Cressier FR
2088,Cressier NE
7447,Cresta (Avers)
1653,Crésuz
1992,Crête-à-l'Oeil(Les Agettes)
1941,Cries (Vollèges)
1023,Crissier
1023,Crissier 1
1023,Crissier 2
1023,Crissier Distribution
1406,Cronay
1322,Croy
7554,Crusch
1148,Cuarnens
1404,Cuarny
1588,Cudrefin
6516,Cugnasco
1482,Cugy FR
1053,Cugy VD
1096,Cully
7142,Cumbel
7176,Cumpadials
7452,Cunter
7184,Curaglia
6963,Cureggia
6944,Cureglia
6986,Curio
1521,Curtilles
6959,Curtina
8447,Dachsen
8471,Dägerlen
6252,Dagmersellen
1306,Daillens
1330,Daillens CALL
1310,Daillens Centre Colis
1310,Daillens Dist Ba
1320,Daillens ST PP 1
1976,Daillon
6126,Daiwil
7424,Dalin
6383,Dallenwil
8108,Dällikon
6774,Dalpe
2933,Damphreux
2914,Damvant
6717,Dangio-Torre
5010,Däniken Postzentrum
4658,Däniken SO
8114,Dänikon ZH
7163,Danis
1283,Dardagny
7164,Dardin
3707,Därligen
3763,Därstetten
8421,Dättlikon
5405,Dättwil AG
6964,Davesco-Soragno
7270,Davos 1 Zustellung
7270,Davos 2
7272,Davos Clavadel
7260,Davos Dorf
7276,Davos Frauenkirch
7277,Davos Glaris
7278,Davos Monstein
7270,Davos Platz
7270,Davos Platz 1
7265,Davos Wolfgang
7145,Degen
9113,Degersheim
9113,Degersheim Zustellung
3053,Deisswil b. Münchenbuchsee
4543,Deitingen
2800,Delémont
2800,Delémont 1
2800,Delémont 1 Distribution
2800,Delémont 2
2800,Delémont car postal JU-NE
2800,Delémont Dist Ba
1567,Delley
1415,Démoret
1135,Denens
1410,Denezy
1026,Denges
5026,Densbüren
4552,Derendingen
4551,Derendingen Swisscom
4552,Derendingen Zustellung
3036,Detligen
8505,Dettighofen
2802,Develier
2802,Develier Post Auto AG
9115,Dicken
4457,Diegten
8157,Dielsdorf
8157,Dielsdorf Zustellung
3053,Diemerswil
3754,Diemtigen
4442,Diepflingen
9444,Diepoldsau
9444,Diepoldsau Zustellung
6036,Dierikon
8777,Diesbach GL
3264,Diessbach b. Büren
2517,Diesse
8253,Diessenhofen
8253,Diessenhofen Zustellung
3256,Dieterswil
9615,Dietfurt
8953,Dietikon
8953,Dietikon 1
8953,Dietikon 2
8953,Dietikon Bahnhof SBB
8305,Dietlikon
6042,Dietwil
8474,Dinhard
6967,Dino
5606,Dintikon
5610,Dintikon LCD
7180,Disentis/Mustér
4243,Dittingen
1304,Dizy
7013,Domat/Ems
7013,Domat/Ems Zustellung
2056,Dombresson
1564,Domdidier
1041,Dommartin
1563,Dompierre FR
1682,Dompierre VD
7433,Donat
1582,Donatyre
6715,Dongio
1407,Donneloye
8583,Donzhausen
6112,Doppleschwand
1905,Dorénaz
8458,Dorf
8239,Dörflingen
8239,Dörflingen Zustellung
4143,Dornach
4143,Dornach 1
4143,Dornach 2
8566,Dotnacht
5605,Dottikon
5605,Dottikon Zustellung
5312,Döttingen
5312,Döttingen Zustellung
3293,Dotzigen
8582,Dozwil
1945,Dranse (Liddes)
9612,Dreien
1965,Drône VS
8600,Dübendorf
8600,Dübendorf 1
8600,Dübendorf 1 Zustellung
8600,Dübendorf 2
8600,Dübendorf Kaserne
3186,Düdingen
3186,Düdingen Zustellung
4202,Duggingen
1912,Dugny (Leytron)
1266,Duillier
4657,Dulliken
1195,Dully
